DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1982,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1983,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1984,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1985,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1986,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1987,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1988,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1989,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1990,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1991,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1992,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1993,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1994,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1995,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1996,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1997,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1998,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,1999,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2000,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2001,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2002,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2003,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2004,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2005,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2006,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2007,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2008,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2009,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2010,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2011,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2012,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2013,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2014,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2015,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2016,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,ES,2017,0,,
