DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,F,FR,2023,388414,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,F,FR,2024,392917,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,M,FR,2020,435511,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,M,FR,2021,424258,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,M,FR,2022,418495,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,M,FR,2023,414423,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y19,M,FR,2024,421454,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,F,FR,2020,357036,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,F,FR,2021,351372,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,F,FR,2022,349522,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,F,FR,2023,340855,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,F,FR,2024,342073,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,M,FR,2020,372662,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,M,FR,2021,368082,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,M,FR,2022,366786,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,M,FR,2023,354950,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y2,M,FR,2024,358210,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,F,FR,2020,381760,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,F,FR,2021,401636,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,F,FR,2022,393925,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,F,FR,2023,389084,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,F,FR,2024,382099,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,M,FR,2020,403001,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,M,FR,2021,424625,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,M,FR,2022,418132,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,M,FR,2023,410612,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y20,M,FR,2024,405163,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,F,FR,2020,378720,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,F,FR,2021,378987,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,F,FR,2022,399106,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,F,FR,2023,391404,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,F,FR,2024,385600,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,M,FR,2020,393403,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,M,FR,2021,398097,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,M,FR,2022,418968,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,M,FR,2023,412361,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y21,M,FR,2024,403754,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,F,FR,2020,369062,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,F,FR,2021,376834,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,F,FR,2022,378962,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,F,FR,2023,398187,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,F,FR,2024,389849,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,M,FR,2020,382773,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,M,FR,2021,389425,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,M,FR,2022,395016,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,M,FR,2023,415575,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y22,M,FR,2024,408240,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,F,FR,2020,370715,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,F,FR,2021,369424,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,F,FR,2022,380126,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,F,FR,2023,379614,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,F,FR,2024,398297,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,M,FR,2020,379028,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,M,FR,2021,379222,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,M,FR,2022,387500,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,M,FR,2023,391487,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y23,M,FR,2024,411503,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,F,FR,2020,369559,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,F,FR,2021,372996,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,F,FR,2022,373631,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,F,FR,2023,382452,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,F,FR,2024,381573,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,M,FR,2020,372727,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,M,FR,2021,377145,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,M,FR,2022,380690,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,M,FR,2023,386383,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y24,M,FR,2024,389953,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,F,FR,2020,363396,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,F,FR,2021,371121,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,F,FR,2022,377114,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,F,FR,2023,376127,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,F,FR,2024,384618,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,M,FR,2020,360358,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,M,FR,2021,374896,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,M,FR,2022,379450,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,M,FR,2023,381840,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y25,M,FR,2024,387146,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,F,FR,2020,364211,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,F,FR,2021,368694,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,F,FR,2022,377017,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,F,FR,2023,381634,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,F,FR,2024,380409,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,M,FR,2020,360932,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,M,FR,2021,362075,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,M,FR,2022,377664,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,M,FR,2023,380931,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y26,M,FR,2024,383120,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,F,FR,2020,383211,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,F,FR,2021,370096,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,F,FR,2022,374925,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,F,FR,2023,382484,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,F,FR,2024,386931,p,
